127.0.0.1 - - [02/Dec/2016:21:10:35 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:10:36 +0800] "GET /shopcart/index.jsp HTTP/1.1" 500 2689
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:11:28 +0800] "GET /index.jsp HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:11:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:11:35 +0800] "GET /shopcart/index.jsp HTTP/1.1" 500 2689
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:11:43 +0800] "GET /shopcart/index.jsp HTTP/1.1" 500 2689
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:14:07 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:14:54 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:15:50 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:16:29 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:25:20 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:25:36 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:41:23 +0800] "GET /shopcart/index.jsp HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:41:28 +0800] "GET /shopcart/index.jsp?bookNum=&bookNum=&bookNum= HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:41:29 +0800] "GET /shopcart/index.jsp?bookNum=&bookNum=&bookNum= HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:43:43 +0800] "GET /shopcart/index.jsp?bookNum=&bookNum=&bookNum= HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:48:33 +0800] "GET /shopcart/index.jsp?bookNum=&bookNum=&bookNum= HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [02/Dec/2016:21:48:33 +0800] "GET /shopcart/css/commen.css HTTP/1.1" 200 27
